case_id,description,text,expected_ids,mrr_dense,mrr_reranked,hit_rate_dense@1,hit_rate_dense@3,hit_rate_dense@5,hit_rate_dense@10,max_ont_similarity_dense@1,max_ont_similarity_dense@3,max_ont_similarity_dense@5,max_ont_similarity_dense@10
60,Aplasia/Hypoplasia affecting the uvea,Aplasie/Hypoplasie der Uvea,['HP:0008055'],0.16666666666666666,,0.0,0.0,0.0,1.0,0.10999999999999999,0.10999999999999999,0.11666666666666667,1.0
61,Abnormal circulating interleukin concentration,Abnorme zirkulierende Interleukin-Konzentration,['HP:0011117'],0.3333333333333333,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
62,Enamel agenesis,Schmelzagenesie,['HP:0033785'],0.0,,0.0,0.0,0.0,0.0,0.10454545454545452,0.28846153846153844,0.3,0.3136363636363636
63,Abnormal liver enzyme activity or concentration,Abnorme Leberenzyaktivität oder -konzentration,['HP:0034685'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,Otosclerosis,Otosklerose,['HP:0000362'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,Focal emotional seizure,Fokaler emotionaler Krampfanfall,['HP:0025613'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,Cortical radial artery intraluminal thrombi,Intraluminale Thromben in der kortikalen Radialarterie,['HP:0033950'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,Elevated urinary 2-oxovaleric acid level,Erhöhter Harn-2-Oxovaleriansäure-Spiegel,['HP:6000600'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,Hobby horse gait,Steckenpferd-Gang,['HP:0031856'],0.0,,0.0,0.0,0.0,0.0,0.08999999999999998,0.08999999999999998,0.09285714285714286,0.09285714285714286
69,Thoracic aortic aneurysm,Thorakales Aortenaneurysma,['HP:0012727'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,Nasal polyposis,Nasale Polypose,['HP:0100582'],0.5,,0.0,1.0,1.0,1.0,0.09285714285714286,1.0,1.0,1.0
71,CSF autoimmune antibody positivity,Autoimmun-Antikörper-Positivität im Liquor,['HP:0032265'],0.018867924528301886,,0.0,0.0,0.0,0.0,0.41818181818181815,0.41818181818181815,0.43999999999999995,0.43999999999999995
72,Elevated urinary 2-methyl-3-hydroxybutyric acid level,Erhöhter Harn-2-Methyl-3-Hydroxybuttersäure-Spiegel,['HP:6000603'],0.3333333333333333,,0.0,1.0,1.0,1.0,0.35,1.0,1.0,1.0
73,Laryngeal cyst,Laryngeale Zyste,['HP:0100640'],0.5,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,Irregular proximal tibial epiphyses,Unregelmäßige proximale Tibiapiphysen,['HP:0006456'],0.5,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,Foveal hyperpigmentation,Foveale Hyperpigmentierung,['HP:0008001'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,Absent distal phalanges,Fehlende distale Phalangen,['HP:0005807'],0.25,,0.0,0.0,1.0,1.0,0.41666666666666663,0.41666666666666663,1.0,1.0
77,Increased circulating copper concentration,Erhöhte Konzentration von zirkulierendem Kupfer,['HP:0032254'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,Reduced sperm motility,Reduzierte Spermienmotilität,['HP:0012207'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,Absent urinary urothione,Fehlendes Harnurothion,['HP:0003606'],0.0,,0.0,0.0,0.0,0.0,0.09615384615384615,0.1923076923076923,0.1923076923076923,0.20909090909090908
80,Piebald skin depigmentation,Scheckige Hautdepigmentierung,['HP:0007544'],0.07142857142857142,,0.0,0.0,0.0,0.0,0.4807692307692307,0.5571428571428572,0.5571428571428572,0.5571428571428572
81,Focal aware sexual automatism seizure,Fokaler bewusster Krampfanfall mit sexuellem Automatismus,['HP:0032917'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,Brow ptosis,Brauenptosis,['HP:0031623'],0.0,,0.0,0.0,0.0,0.0,0.09615384615384615,0.10454545454545452,0.10999999999999999,0.10999999999999999
83,"Soft, doughy skin","Weiche, teigige Haut",['HP:0001027'],0.16666666666666666,,0.0,0.0,0.0,1.0,0.0,0.3714285714285714,0.3846153846153846,1.0
84,Abnormality of the glenoid fossa,Anomalie der Glenoidfossa,['HP:0011912'],0.5,,0.0,1.0,1.0,1.0,0.6299999999999999,1.0,1.0,1.0
85,Peritoneal abscess,Peritonealabszess,['HP:0100592'],0.0,,0.0,0.0,0.0,0.0,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.43999999999999995
86,Prominence of the zygomatic bone,Prominenz des Jochbeins,['HP:0012370'],0.125,,0.0,0.0,0.0,1.0,0.3714285714285714,0.45,0.45,1.0
87,Hip subluxation,Hüftsubluxation,['HP:0030043'],0.125,,0.0,0.0,0.0,1.0,0.4642857142857143,0.4807692307692307,0.5,1.0
88,Triangular shaped proximal phalanx of the 3rd finger,Dreieckig geformte proximale Phalanx des dritten Fingers,['HP:0009456'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,Conjunctival amyloidosis,Konjunktivale Amyloidose,['HP:0010637'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,Dilatation of the tricuspid annulus,Dilatation des Trikuspidalklappenrings,['HP:0031444'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,Skin ulcer,Hautgeschwür,['HP:0200042'],0.0,,0.0,0.0,0.0,0.0,0.09615384615384615,0.4,0.4,0.4
92,Delusions of infestation,Parasitosenwahn,['HP:5200426'],0.0,,0.0,0.0,0.0,0.0,0.0,0.25,0.25588235294117645,0.25588235294117645
93,Abnormal erythrocyte adenosine deaminase activity,Abnorme Adenosindesaminase-Aktivität in Erythrozyten,['HP:4000209'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,Decreased low-density lipoprotein particle size,Verminderte Partikelgröße von Low-Density-Lipoproteinen,['HP:0032193'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,Cyclotropia,Cyclotropie,['HP:0031776'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,Extramedullary hematopoiesis,Extramedulläre Hämatopoese,['HP:0001978'],0.0,,0.0,0.0,0.0,0.0,0.10999999999999999,0.11666666666666667,0.11666666666666667,0.23333333333333334
97,Abnormal urinary 1-methylhistidine concentration,Abnorme Harn-1-Methylhistidinkonzentration,['HP:0410313'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,Subependymal cysts,Subependymale Zysten,['HP:0002416'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,Status epilepticus with ictal paresis,Status epilepticus mit iktaler Parese,['HP:0032862'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,Impaired ocular abduction,Eingeschränkte okuläre Abduktion,['HP:0000634'],0.1111111111111111,,0.0,0.0,0.0,1.0,0.41818181818181815,0.41818181818181815,0.41818181818181815,1.0
101,Protein craving,Proteinverlangen,['HP:6000785'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,Unicoronal synostosis,Unikoronale Synostose,['HP:0011315'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
103,Spastic tetraplegia,Spastische Tetraplegie,['HP:0002510'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,Impaired cytokine signaling,Beeinträchtigte Zytokinsignalübertragung,['HP:0031407'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,Adversive status epilepticus,Adversiver Status epilepticus,['HP:0032664'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,Ventricular preexcitation with multiple accessory pathways,Ventrikuläre Präexzitation mit multiplen akzessorischen Leitungsbahnen,['HP:0006684'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,Anti-GM1 IgM antibody positivity,Anti-GM1-IgM-Antikörper-Positivität,['HP:0034118'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,Arcuate artery intima/media necrosis,Intima/Media-Nekrose der Arkuatarterie,['HP:0033931'],0.125,,0.0,0.0,0.0,1.0,0.8369565217391304,0.8369565217391304,0.8369565217391304,1.0
109,Proximal/middle symphalangism of 3rd toe,Proximaler/mittlerer Symphalangismus des dritten Zehs,['HP:0100480'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,Mass on thoracic imaging,Masse in der Thoraxbildgebung,['HP:0033822'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,Osteolytic defects of the phalanges of the hand,Osteolytische Defekte der Phalangen der Hand,['HP:0009771'],0.08333333333333333,,0.0,0.0,0.0,0.0,0.6299999999999999,0.6299999999999999,0.6299999999999999,0.6299999999999999
112,Turricephaly,Turmschädel,['HP:0000262'],0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
113,Abnormal neck blood vessel morphology,Abnorme Morphologie der Halsblutgefäße,['HP:3000037'],0.058823529411764705,,0.0,0.0,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
114,Hypoplastic nasopharyngeal adenoids,Hypoplastische nasopharyngeale Adenoide,['HP:0040258'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,Focal autonomic seizure with piloerection,Fokaler autonomer Krampfanfall mit Piloerektion,['HP:0032767'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,Reticulocytosis,Retikulozytose,['HP:0001923'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,Knuckle pad,Knuckle-Pad,['HP:0032541'],0.0,,0.0,0.0,0.0,0.0,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999
118,Cervical C2/C3 vertebral fusion,Fusion der Halswirbel C2/C3,['HP:0004602'],0.5,,0.0,1.0,1.0,1.0,0.08333333333333334,1.0,1.0,1.0
119,Reduced alpha-2-antiplasmin activity,Reduzierte Alpha-2-Antiplasmin-Aktivität,['HP:0040245'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,Orotic acid crystalluria,Orotsäure-Kristallurie,['HP:0003526'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,Open operculum,Offenes Operculum,['HP:0100954'],0.0,,0.0,0.0,0.0,0.0,0.08157894736842104,0.08157894736842104,0.0875,0.0875
122,Erlenmeyer flask deformity of the femurs,Erlenmeyer-Kolben-Deformität der Femora,['HP:0004975'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
123,Abnormal fucosylation of protein N-linked glycosylation,Abnorme Fucosylierung der protein-N-gebundenen Glykosylierung,['HP:0012352'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,Type 2 muscle fiber predominance,Überwiegen von Muskelfasertyp 2,['HP:0010602'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,Reduced hepatic N-acetylglutamate synthase activity,Reduzierte hepatische N-Acetylglutamat-Synthase-Aktivität,['HP:6000161'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,Double inlet right ventricle,Double-Inlet-Rechter-Ventrikel,['HP:0011556'],0.3333333333333333,,0.0,1.0,1.0,1.0,0.6299999999999999,1.0,1.0,1.0
127,Vocal cord polyp,Stimmbandpolyp,['HP:0032041'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
128,Cementoma,Zementom,['HP:0012328'],0.0,,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3
129,Minicore myopathy,Minicore-Myopathie,['HP:0003789'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,Pneumothorax,Pneumothorax,['HP:0002107'],0.3333333333333333,,0.0,1.0,1.0,1.0,0.6299999999999999,1.0,1.0,1.0
131,Conjunctival papillae,Konjunktivale Papillen,['HP:0030946'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,Severe B lymphocytopenia,Schwere B-Lymphozytopenie,['HP:0005365'],0.5,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
133,Abnormal RV/TLC ratio,Abnormes RV/TLC-Verhältnis,['HP:0033772'],0.0,,0.0,0.0,0.0,0.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.1357142857142857
134,Nummular pigmentation of the fundus,Nummuläre Pigmentierung des Fundus,['HP:0030505'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
135,Nevus,Nävus,['HP:0003764'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136,Bullet-shaped proximal phalanx of the 2nd finger,Geschossförmige proximale Phalanx des zweiten Fingers,['HP:0009582'],0.01639344262295082,,0.0,0.0,0.0,0.0,0.6823529411764706,0.6823529411764706,0.6823529411764706,1.0
137,Dalen Fuchs nodules,Dalen-Fuchs-Knötchen,['HP:6000710'],0.0,,0.0,0.0,0.0,0.0,0.0875,0.08999999999999998,0.08999999999999998,0.08999999999999998
138,Gonadal neoplasm,Gonadentumor,['HP:0010785'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
139,Partial duplication of the phalanges of the 5th finger,Partielle Duplikation der Phalangen des fünften Fingers,['HP:0009987'],0.5,,0.0,1.0,1.0,1.0,0.6299999999999999,1.0,1.0,1.0
140,Stomach cancer,Magenkrebs,['HP:0012126'],0.05,,0.0,0.0,0.0,0.0,0.1923076923076923,0.32999999999999996,0.5,0.5227272727272727
141,Abnormal nasal bone morphology,Abnorme Nasenknochenmorphologie,['HP:0010939'],0.06666666666666667,,0.0,0.0,0.0,0.0,0.10454545454545452,0.10999999999999999,1.0,1.0
142,Hyperechogenic kidneys,Hyperechogene Nieren,['HP:0004719'],0.5,,0.0,1.0,1.0,1.0,0.09285714285714286,1.0,1.0,1.0
143,Positive respiratory tract infectious agent test,Positiver Test auf Erreger der Atemwege,['HP:0430151'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,Pleomorphic cholangitis,Pleomorphe Cholangitis,['HP:0030990'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,Constant exotropia,Konstante Exotropie,['HP:0031713'],0.3333333333333333,,0.0,1.0,1.0,1.0,0.7342105263157894,1.0,1.0,1.0
146,Easy fatigability,Schnelle Ermüdbarkeit,['HP:0003388'],0.5,,0.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0
147,Pulmonary arterial atherosclerosis,Pulmonalarterielle Atherosklerose,['HP:0031272'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
148,Anti-angiotensin receptor type-1 antibody positivity,Anti-Angiotensin-Rezeptor-Typ-1-Antikörper-Positivität,['HP:0034094'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
149,Increased annexin V binding to platelet phosphatidylserine,Erhöhte Annexin-V-Bindung an Thrombozyten-Phosphatidylserin,['HP:0031133'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,Cerebral edema,Zerebrales Ödem,['HP:0002181'],0.0,,0.0,0.0,0.0,0.0,0.0,0.45,1.0,1.0
151,Mesocardia,Mesokardie,['HP:0011599'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
152,Hypovolemic shock,Hypovolämischer Schock,['HP:0031274'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
153,Decreased body fat percentage,Verminderter Körperfettanteil,['HP:0041079'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154,Bowing of the legs,Verbiegung der Beine,['HP:0002979'],0.045454545454545456,,0.0,0.0,0.0,0.0,0.32999999999999996,0.3714285714285714,0.5227272727272727,0.5227272727272727
155,Decreased circulating aspartic acid concentration,Verminderte Konzentration zirkulierender Asparaginsäure,['HP:0034441'],0.5,,0.0,1.0,1.0,1.0,0.17058823529411765,1.0,1.0,1.0
156,Unguarded tricuspid valve,Ungeschützte Trikuspidalklappe,['HP:0030719'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
157,Synovial crystals,Synovialkristalle,['HP:6001156'],0.5,,0.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0
158,Downturned corners of mouth,Herabgezogene Mundwinkel,['HP:0002714'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
159,Placenta previa,Plazenta praevia,['HP:0430070'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,Increased circulating creatine kinase MB isoform,Erhöhte Konzentration der zirkulierenden Kreatinkinase-MB-Isoform,['HP:0032232'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
161,Short distal phalanx of the 3rd toe,Kurze distale Phalanx des dritten Zehs,['HP:0100389'],0.125,,0.0,0.0,0.0,1.0,0.5,0.5,0.5970588235294118,1.0
162,Cerebral venous angioma,Zerebrales venöses Angiom,['HP:0012481'],0.5,,0.0,1.0,1.0,1.0,0.2785714285714286,1.0,1.0,1.0
163,Peripheral dysmyelination,Periphere Dysmyelinisierung,['HP:0003469'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
164,Temporal lobe calcification,Temporallappenverkalkung,['HP:0034293'],0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999998,0.3846153846153846
